,Greenfield Area SC,,,http://www.greenfieldsoccer.org/,,,Greenfield,
,Indiana Impact SC,,,https://www.indianaimpactsc.com/,,,Greenfield,
,Decatur County Soccer Club,,,https://www.decaturcountysoccer.com/Default.aspx?tabid=260808,,,Greensburg,
,Circle City FC,,,http://www.circlecityfc.com/,,,Indianapolis,
,Decatur United Soccer Club,,,https://sports.bluesombrero.com/decaturunited,,,Indianapolis,
,Dynamo FC,,,http://www.dynamofc.org/,,,Indianapolis,
,FC Pride,,,https://fcpride.org/,,,Indianapolis,
,Glendale Soccer Assn.,,,http://glendalesoccer.org/,,,Indianapolis,
,Indy Phoenix FC,,,https://www.indyphoenixfc.com/,,,Indianapolis,
,Naptown United,,,https://www.facebook.com/naptownunited/,,,Indianapolis,
,NorthSide Soccer,,,https://www.northsidesoccer.com/,,,Indianapolis,
,United Soccer Alliance of Indiana,,,https://www.usaofindiana.org/,,,Indianapolis,
,St. Francis Soccer Club,,,https://www.stfrancissoccer.com/,,,Indianapolis,
,Kokomo Soccer Club,,,https://kokomosoccerclub.org/,,,Kokomo,
,Boilers FC,,,http://www.boilersfc.org/,,,Lafayette,
,Lebanon Youth Soccer Association,,,http://lebanonyouthsoccer.com/,,,Lebanon,
,Union County Youth Soccer,,,https://tshq.bluesombrero.com/Default.aspx?tabid=1830441,,,Liberty,
,Sporting Indiana FC,,,http://www.sportingindianafc.com/,,,McCordsville,
,Monrovia Youth Soccer,,,https://www.monroviasoccer.org/,,,Monrovia,
,Komets Soccer Club,,,http://kometsfc.org/,,,Mooresville,
,Delaware County Futbol Club,,,https://www.dcfcsoccer.org/,,,Muncie,
,Henry County Youth Soccer,,,http://www.henrycountysoccer.com/,,,New Castle,
,New Palestine United,,,http://www.npunited.org/,,,New Palestine,
,Hoosier Futbol Club,,,http://www.hoosierfc.com/,,,Noblesville,
,Indy Premier SC,,,http://www.indypremiersc.org/,,,Noblesville,
,Noblesville United SC,,,http://www.noblesvilleunited.com/,,,Noblesville,
,Taylor Soccer Club,,,https://www.facebook.com/taylorsoccerclubkokomo/,,,Oakford,
,Pendleton FC,,,https://www.pendletonsoccer.com/,,,Pendleton,
,Hendricks Elite FC,,,http://triwestyouthsoccer.com/,,,Pittsboro,
,Plainfield Optimist,,,https://plainfieldoptimistclub.sportngin.com/page/show/2074401-home,,,Plainfield,
,Jay County Soccer Club,,,https://www.facebook.com/pg/JCCSoccerClub/posts/,,,Portland,
,Richmond Premier Soccer Club,,,https://richmondpremiersoccerclub.weebly.com/,,,Richmond,
,Parke County Youth Soccer Assoc.,,,https://www.facebook.com/pcysa/,,,Rockville,
,Rushville Futsal,,,https://www.facebook.com/RushvilleFutsal/,,,Rushville,
,Blue River SA ,,,https://www.blueriversoccer.org/,,,Shelbyville,
,Sheridan SC,,,https://www.facebook.com/people/Sheridan-Youth-Soccer-Club/100072011078946/,,,Sheridan,
,Speedway Youth Soccer,,,http://www.speedwaysoccer.org/,,,Speedway,
,Vigo County Youth Soccer,,,http://vcysa.org/,,,Terre Haute,
,Tipton Youth Soccer Club,,,https://leagues.bluesombrero.com/default.aspx?portalid=11904,,,Tipton,
,Indiana Fire Academy,,,https://www.indianafirejuniors.com/,,,Westfield,
,Zionsville Youth Soccer Association,,,https://www.zysa.org/,,,Zionsville,
,Alliance Fire,,,https://www.allianceindiana.com/,,,Bargersville,
,Batesville Soccer Club,,,https://www.batesvillesoccer.org/,,,Batesville,
,Orbit Futbol Club,,,https://www.orbitfc.org/,,,Bedford,
,Cutters Soccer Club,,,https://www.cutterssoccer.org/,,,Bloomington,
,Boonville Youth Soccer,,,https://www.facebook.com/Boonville-Youth-Soccer-228930167127901/,,,Boonville,
,Franklin County Youth Soccer,,,https://www.fcjsl.com/,,,Brookville,
,Columbus Express,,,https://columbusexpress.com/,,,Columbus,
,Evansville Youth Soccer League,,,https://www.evansvilleyouthsoccer.org/,,,Evansville,
,FCE United,,,https://www.fcesoccer.com/home,,,Evansville,
,Indiana Fire Academy South,,,https://www.indianafirejuniorssouth.com/,,,Evansville,
,North Evansville Youth SC,,,https://www.neysc.org/,,,Evansville,
,SWISA,,,https://www.sportingsi.com/,,,Evansville,
,Forest Park Youth Soccer Assn,,,https://www.facebook.com/FPRangerYS/,,,Ferdinand,
,Indiana Southwest Futbol Club,,,https://sports.bluesombrero.com/Default.aspx?tabid=547604,,,Jasper,
,Jasper Youth Soccer,,,https://sports.bluesombrero.com/jys,,,Jasper,
,Clark County Soccer Assoc (CCSA),,,https://www.clarkcountysoccer.com/,,,Jeffersonville,
,Greene County Soccer,,,http://www.greenecountysoccer.com/,,,Linton,
,Jefferson County Soccer Association,,,https://www.facebook.com/pg/Jefferson-County-Soccer-Association-152141579264/about/,,,Madison,
,Southern Indiana United,,,http://siusoccer.com/,,,New Albany,
,Newburgh Youth Soccer,,,https://www.newburghyouthsoccer.com/,,,Newburgh,
,Gibson County Soccer Club,,,http://www.gibsoncountysoccerclub.com/,,,Princeton,
,North Spencer Soccer Association,,,https://www.facebook.com/nspencersoccer/,,,Santa Claus,
,Seymour Soccer Association,,,https://www.seymoursoccer.org/,,,Seymour,
,Trinity Cub Soccer,,,https://trinitycubs.com/about-us/,,,Seymour,
,Sullivan County Youth Soccer Association,,,https://www.facebook.com/SullivanCountyYouthSoccerAssociation/,,,Sullivan,
,Trojan Youth Soccer (Sunman),,,https://www.sunmanareasoccer.com/,,,Sunman,
,Perry County Youth Soccer,,,https://clubs.bluesombrero.com/Default.aspx?tabid=433235,,,Tell City,
,Muscatatuck Soccer Club,,,https://www.facebook.com/groups/2336269163341379/,,,Vernon,
,Washington FC,,,https://washingtonfcblitz.com/,,,Washington,
