,C Legacy United,Anaheim, CA,Premier,https://premier.upsl.com/teams/c-legacy-united-8366,
,C.F. San Rafael,San Rafael, CA,Division 1,http://division1.upsl.com/teams/c-f-san-rafael-598156,
,Cabras Football Club,Dover, NJ,Premier,https://premier.upsl.com/teams/cabras-football-club-92602,
,California Natives FC,San Bernardino, CA,Division 1,http://division1.upsl.com/teams/california-natives-fc-168190,
,California Rush,Huntington Beach, CA,Division 1,http://division1.upsl.com/teams/california-rush-763319,
,California Rush II,Huntington Beach, CA,Division 1,http://division1.upsl.com/teams/california-rush-ii-90087,
,California Rush SC,Huntington Beach , CA,Women,http://women.upsl.com/teams/california-rush-sc-79525,
,California Soccer Club,Pasadena, CA,Division 1,http://division1.upsl.com/teams/california-soccer-club-662627,
,Cap City Futures,Austin, TX,Division 1,http://division1.upsl.com/teams/cap-city-futures-89513,
,Capital City SC,Austin, TX,Premier,https://premier.upsl.com/teams/capital-city-sc-61048,
,Capitol City Futbol Club,Sacramento, CA,Division 1,http://division1.upsl.com/teams/capitol-city-futbol-club-929904,
,Capo FC,CA,Tournament,http://tournament.upsl.com/teams/capo-fc-780340,
,Cavalry UPSL,College Station, TX,Premier,https://premier.upsl.com/teams/cavalry-upsl-192957,
,CBT INTERNATIONAL FC,MIAMI, FL,Division 1,http://division1.upsl.com/teams/cbt-international-fc-937128,
,CD Delfines De Abasolo,Phoenix, AZ,Premier,https://premier.upsl.com/teams/cd-delfines-de-abasolo-56793,
,CD Granite Masters,OH,Premier,https://premier.upsl.com/teams/cd-granite-masters-840734,
,CD Granite Masters,Columbus, OH,Premier,https://premier.upsl.com/teams/cd-granite-masters-253606,
,CD Oakland,Oakland, CA,Premier,https://premier.upsl.com/teams/cd-oakland-82025,
,Celebration Soccer Stars,Celebration, FL,Premier,https://premier.upsl.com/teams/celebration-soccer-stars-478235,
,Center of excellence,Houston, TX,Premier,https://premier.upsl.com/teams/center-of-excellence-687046,
,Central Falls FC,Central Falls , RI,Division 1,http://division1.upsl.com/teams/central-falls-fc-492255,
,Central Texas Coyotes FC,Temple, TX,Division 1,http://division1.upsl.com/teams/central-texas-coyotes-fc-333974,
,Cesena FC USA,Hendon, VA,Division 1,http://division1.upsl.com/teams/cesena-fc-usa-642009,
,CF Cachorros USA,CA,Division 1,http://division1.upsl.com/teams/cf-cachorros-usa-245657,
,Charleston United SC,Charleston, SC,Division 1,http://division1.upsl.com/teams/charleston-united-sc-80977,
,Charlotte Football Club,Charlotte, NC,Premier,https://premier.upsl.com/teams/charlotte-football-club-122755,
,Chelsea Premier Soccer Academy,Brooklyn, NY,Division 1,http://division1.upsl.com/teams/chelsea-premier-soccer-academy-751614,
,Chelsea Premier U13,Brooklyn, NY,Academy Boys,http://academyboys.upsl.com/teams/chelsea-premier-u13-729205,
,Chicago Nation FC,Chicago, IL,Premier,https://premier.upsl.com/teams/chicago-nation-fc-430068,
,Chicago Strikers,Chicago, IL,Premier,https://premier.upsl.com/teams/chicago-strikers-815137,
,Chiriaco FC,Coachella, CA,Premier,https://premier.upsl.com/teams/chiriaco-fc-652089,
,City SC San Diego,Carlsbad. , CA,Premier,https://premier.upsl.com/teams/city-sc-san-diego-335935,
,City SC Temecula,Temecula, CA,Premier,https://premier.upsl.com/teams/city-sc-temecula-602150,
,City Soccer FC,West Palm Beach, FL,Premier,https://premier.upsl.com/teams/city-soccer-fc-957369,
,Clearwater Chargers Academy,Clearwater, FL,Division 1,http://division1.upsl.com/teams/clearwater-chargers-academy-409515,
,Clearwater Chargers SC,Clearwater, FL,Premier,https://premier.upsl.com/teams/clearwater-chargers-sc-521621,
,Clermont FC,Clermont, FL,Division 1,http://division1.upsl.com/teams/clermont-fc-999662,
,Club Garrafones,Los Angeles, CA,Division 1,http://division1.upsl.com/teams/club-garrafones-801386,
,Club Nacional de Football Tampa,Tampa , FL,Division 1,http://division1.upsl.com/teams/club-nacional-de-football-tampa-341800,
,Club The Strongest Atlanta,Gwinnett, GA,Premier,https://premier.upsl.com/teams/club-the-strongest-atlanta-271745,
,Cobras FC,Salt Lake City, UT,Premier,https://premier.upsl.com/teams/cobras-fc-88561,
,Colorado Lobos FC,CO,Premier,https://premier.upsl.com/teams/colorado-lobos-fc-38313,
,Columbus Astray,Columbus, OH,Premier,https://premier.upsl.com/teams/columbus-astray-838328,
,Columbus Crew Academy,Columbus, OH,Premier,https://premier.upsl.com/teams/columbus-crew-academy-470955,
,Combine Academy,Charlotte, NC,Premier,https://premier.upsl.com/teams/combine-academy-60668,
,Coppell FC,Coppell, TX,Premier,https://premier.upsl.com/teams/coppell-fc-381470,
,Coppell FC II,Coppell, TX,Division 1,http://division1.upsl.com/teams/coppell-fc-ii-841484,
,Corinthians FC of San Antonio,TX,Premier,https://premier.upsl.com/teams/corinthians-fc-of-san-antonio-968536,
,Coronado Athletic Club,Sierra Vista, AZ,Premier,https://premier.upsl.com/teams/coronado-athletic-club-944210,
,Coronado Athletic Club II,Sierra Vista, AZ,Division 1,http://division1.upsl.com/teams/coronado-athletic-club-ii-22626,
,Corpus Christi Shakas,Corpus Christi, TX,Premier,https://premier.upsl.com/teams/corpus-christi-shakas-426887,
,Covered Bridge Soccer Club,Euharlee Ga, Cumming GA, Marietta GA, GA,Division 1,http://division1.upsl.com/teams/covered-bridge-soccer-club-55957,
,Craq,Orange, CA,Division 1,http://division1.upsl.com/teams/craq-707819,
,Cruizers FC,Modesto, CA,Premier,https://premier.upsl.com/teams/cruizers-fc-978900,
,Culver City FC,Culver, CA,Premier,https://premier.upsl.com/teams/culver-city-fc-619209,
,Culver City FC U13,CA,Academy Boys,http://academyboys.upsl.com/teams/culver-city-fc-u13-903446,
,D10 Lions FC,Houston, TX,Division 1,http://division1.upsl.com/teams/d10-lions-fc-140216,
,Dade County FC,Miami, FL,Premier,https://premier.upsl.com/teams/dade-county-fc-590978,
,Dade County FC U23,Miami, FL,Division 1,http://division1.upsl.com/teams/dade-county-fc-u23-239806,
,Dade County FC Women,FL,Women,http://women.upsl.com/teams/dade-county-fc-women-670884,
,Dallas Deportivo FC,Dallas, TX,Premier,https://premier.upsl.com/teams/dallas-deportivo-fc-886095,
,Dalton United,Dalton, GA,Premier,https://premier.upsl.com/teams/dalton-united-824188,
,Davis Legacy,Davis, CA,Premier,https://premier.upsl.com/teams/davis-legacy-94186,
,DC United U19,Washington DC, DC,Premier,https://premier.upsl.com/teams/dc-united-u19-826521,
,De Deacon F.C,Raleigh, NC,Division 1,http://division1.upsl.com/teams/de-deacon-f-c-651213,
,Deportivo Lake Mary,Lake Mary, FL,Premier,https://premier.upsl.com/teams/deportivo-lake-mary-56080,
,Deportivo Rose City,Portland, OR,Premier,https://premier.upsl.com/teams/deportivo-rose-city-58772,
,Detroit United,Farmington Hills, MI,Premier,https://premier.upsl.com/teams/detroit-united-54172,
,Disciples FC,Fullerton, CA,Division 1,http://division1.upsl.com/teams/disciples-fc-81880,
,Dixon Leon SC,Dixon, CA,Division 1,http://division1.upsl.com/teams/dixon-leon-sc-231134,
,Downtown Los Angeles,Los Angeles, CA,Division 1,http://division1.upsl.com/teams/downtown-los-angeles-657486,
