23,ms, #11 Vicksburg Cannons ,,https://selectbaseballteams.com/baseball/organization/vicksburg/ms/vicksburg-cannons/,,,,,,,601-618-6694,,,Outdoor Facilities,,,Volunteer Coaches,,,255 Fisher Ferry Rd,Vicksburg , MS 39180,,,$350,,,,
24,ms, #1 59 Baseball ,,https://selectbaseballteams.com/baseball/organization/hattiesburg/ms/59-baseball/,,,,https://www.59baseball.com/,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,42 Office Park Drive,Hattiesburg, MS 39402,,,,,,
25,ms, #1 59 Baseball ,,https://selectbaseballteams.com/baseball/organization/hattiesburg/ms/59-baseball/,,,,https://www.59baseball.com/,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,42 Office Park Drive,Hattiesburg, MS 39402,,,,,,
26,ms, #1 59 Baseball ,,https://selectbaseballteams.com/baseball/organization/hattiesburg/ms/59-baseball/,,,,https://www.59baseball.com/,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,42 Office Park Drive,Hattiesburg, MS 39402,,,,,,
29,in, #1 Oaklandon Bombers ,,https://selectbaseballteams.com/baseball/organization/lawerance/in/oaklandon-bombers/,,,,http://oyoball.org/,,,123-456-7890,,,Outdoor Facilities,,,Volunteer Coaches,,,12150 east 62nd st,Lawerance, IN 46235,,,,,,,
30,in, #1 Midwest Astros Academy ,,https://selectbaseballteams.com/baseball/organization/greenfield/in/midwest-astros-academy/,,,,http://www.midwestastrosacademy.com/,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,2274 N Franklin St,Greenfield, IN 46410,,,,,,
30,in, #2 Imavex Orange ,,https://selectbaseballteams.com/baseball/organization/fishers/in/imavex-orange/,,,,https://www.imavexorange.com/index.php,,,317-774-7460,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,8770 North Street,Fishers, IN 46038,,,$1,0,,
30,in, #3 Hawks Baseball Club ,,https://selectbaseballteams.com/baseball/organization/indianapolis/in/hawks-baseball-club/,,,,,,,317-626-3558,,,Indoor Facilities,Outdoor Facilities,,,Volunteer Coaches,,,5377 Dollar Forge Court,Indianapolis, IN 46221,,,$600,,,
30,in, #4 Northwest Indiana Shockers ,,https://selectbaseballteams.com/baseball/organization/schererville/in/northwest-indiana-shockers/,,,,https://indianashockers.com/,,,219-313-9252,,,Indoor Facilities,,,Volunteer Coaches,,,1448 Lakewood Lane,Schererville, IN 46375,,,$650,,,,
30,in, #5 Indiana Outkast ,,https://selectbaseballteams.com/softball/organization/terre-haute/in/indiana-outkast/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Terre Haute, IN,,,,,,
30,in, #6 Indiana Blaze ,,https://selectbaseballteams.com/softball/organization/lafayette/in/indiana-blaze/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Lafayette, IN,,,,,,
30,in, #7 Crown Point Bulldogs (Scott) ,,https://selectbaseballteams.com/softball/organization/winfield/in/crown-point-bulldogs-scott/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Winfield, IN,,,,,,
30,in, #8 South Bend River Bandits ,,https://selectbaseballteams.com/softball/organization/south-bend/in/south-bend-river-bandits/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,South Bend, IN,,,,,,
30,in, #9 Midwest USSSA Pride ,,https://selectbaseballteams.com/softball/organization/granger/in/midwest-usssa-pride/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Granger, IN,,,,,,
30,in, #10 Howard County Thunder ,,https://selectbaseballteams.com/softball/organization/kokomo/in/howard-county-thunder/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Kokomo, IN,,,,,,
30,in, #11 Summit City Sluggers ,,https://selectbaseballteams.com/softball/organization/fort-wayne/in/summit-city-sluggers/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Fort Wayne, IN,,,,,,
30,in, #12 Indiana Magic (Bowman) ,,https://selectbaseballteams.com/softball/organization/lafayette/in/indiana-magic-bowman/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Lafayette, IN,,,,,,
30,in, #13 Fort Wayne Spartans ,,https://selectbaseballteams.com/softball/organization/fort-wayne/in/fort-wayne-spartans-0/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Fort Wayne, IN,,,,,,
30,in, #14 Midwest Astros ,,https://selectbaseballteams.com/softball/organization/greenfield/in/midwest-astros/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Greenfield, IN,,,,,,
30,in, #15 Fort Wayne Spartans ,,https://selectbaseballteams.com/softball/organization/fort-wayne/in/fort-wayne-spartans/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Fort Wayne, IN,,,,,,
30,in, #16 Summit City Select ,,https://selectbaseballteams.com/softball/organization/fort-wayne/in/summit-city-select/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Fort Wayne, IN,,,,,,
30,in, #17 Indiana Rip It ,,https://selectbaseballteams.com/softball/organization/auburn/in/indiana-rip-it/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Auburn, IN,,,,,,
30,in, #18 Indy Crush Platinum 18U ,,https://selectbaseballteams.com/softball/organization/greenwood/in/indy-crush-platinum-18u/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Greenwood, IN,,,,,,
30,in, #19 Michiana Mystique ,,https://selectbaseballteams.com/softball/organization/granger/in/michiana-mystique/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Granger, IN,,,,,,
30,in, #20 Indiana Thunder ,,https://selectbaseballteams.com/softball/organization/columbus/in/indiana-thunder/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Columbus, IN,,,,,,
30,in, #21 Oaklandon Bombers ,,https://selectbaseballteams.com/baseball/organization/lawerance/in/oaklandon-bombers/,,,,http://oyoball.org/,,,123-456-7890,,,Outdoor Facilities,,,Volunteer Coaches,,,12150 east 62nd st,Lawerance, IN 46235,,,,,,,
30,in, #22 Angels Fastpitch ,,https://selectbaseballteams.com/softball/organization/indianapolis/in/angels-fastpitch/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Indianapolis, IN,,,,,,
30,in, #23 Michiana Repetition Elite (Kidwell) ,,https://selectbaseballteams.com/softball/organization/south-bend/in/michiana-repetition-elite-kidwell/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,South Bend, IN,,,,,,
30,in, #24 Indiana Beasts - Magic ,,https://selectbaseballteams.com/softball/organization/fort-wayne/in/indiana-beasts-magic/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Fort Wayne, IN,,,,,,
30,in, #25 Purple Haze 16U ,,https://selectbaseballteams.com/softball/organization/alexandria/in/purple-haze-16u/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Alexandria, IN,,,,,,
